"Rather than being powered by a Mana Spreader, you must use &6Sparks&r.","魔力发射器无法为泰拉凝聚板提供魔力，你必须使用&6火花&r"
"Nether Sky Villages","下界天空村庄"
"The &bDosimeter&r will &6tell you your current Radiation Dose&r. Basically, how irradiated you yourself are.","&b放射量测定器&r会&6告诉你你当前的辐射量&r。基本上，就是你受到的辐射程度。"
"Comparators will also emit a signal based on the amount of that item available.","比较器还会根据该物品的可用数量发出红石信号"
"Crafting this &bForce Armor&r may, or may not show you the Jedi's way","制作这个&b力量盔甲&r，会……也可能不会告诉你绝地之道"
"These aren't as powerful, but look very aesthetic","可能没那么强，但是可以美化你的农场"
"&bReinforced Alloy&r are the next tier of Mekanism alloys.","&b强化合金&r是下一等级的通用机械合金。"
"Probably less useful back home.","到家就没用了"
"Welcome to FTB Skies!","欢迎来到FTB Skies！"
"Construction Wands","建筑法杖"
"&6Waterlogged Sand&r does &cnot have any additional drops&r when using higher tier meshes.","用用更高等级筛网筛&6浸水沙子&r&c没有额外的掉落物&r。"
"Its &6Upgrade Units&r can be intalled in the &6Modification Station&r.","它的&6升级单元&r可以在&6改造站&r中完成。"
"Make a Mechanical Harvester","制作动力收割机"
"Battle Stations!","“站”斗时间！"
"LPG and Coal together in this machine can produce &6Liquid Plastic&r.","液化石油气和煤炭一起放入机器可以生产&6液态塑料&r。"
"Autocrafting, Kinda","自动合成，算是吧…"
"&bMars&r is &oalso&r a barren wasteland, mostly.","&b火星&r也是个荒原"
"The &bStorage Controller&r's inventory is composed of &6all the inventories of linked Drawers&r. This makes it ideal for automation etc.","&b存储控制器&r的存储栏由&6所有连接的抽屉&r组成。对于自动化之类的非常友好。"
"For now you can combine soil into dirt but eventually, you'll need a better method. Placing &bCompost&r or &bRich Soil&r under a &6Material Generator&r slowly yields an infinite supply of Dirt, useful for sifting or growing.","现在，你可以用土块合成泥土。但不是长久之计，你需要更好的方法。将&b有机肥料&r或&b沃土&r放置在&6材料生成器&r下，可以缓慢的无限生产泥土，用于筛取或种植。"
"If you wish to &6play with a friend&r, &6join their party&r! Ask them to invite you to their party, or invite them to yours! (the button is at the top right of the &6My Teams&r menu in the inventory).","如果你想&6和朋友玩&r，&6加入他们的队伍&r！请他们邀请你加入他们的队伍，或邀请他们加入你的队伍！（按钮位于物品栏中的 &6MyTeams&r菜单的右上角）"
"• &6Burn Rate&r is how fast fuel is being used\\n• &6Heating Rate&r is how fast coolant is being heated\\n• &6Temp&r is temperature. Temperatures above 1200K (926°C) &cdamages the Reactor&r\\n• &6Damage&r shows how close the Reactor is to a &cMeltdown&r, which causes a massive explosion and causes lethal radiation in a 5 chunk radius\\n• &6Activate&r turns it on, &6Scram&r turns it off","• &6燃烧速率&r是使用燃料的速度\\n•&6加热速率&r是冷却剂加热的有多快\\n•&6Temp&r是温度。温度超过1200K（926℃）&c会损坏反应堆&r\\\n•&6损害&r显示反应堆离&c融毁&r的距离，在5个区块半径内产生巨大爆炸并产生致命辐射\\\n&6激活&r将其启动，&6急停&r将其关闭"
"&bShrine Upgrades&r increase the power of the Shrine they are placed on, in some way.","&b神龛升级&r以某种方式增强其所在神龛的力量"
"The Agronomic Sourcelink is a good early option. It generates Source &6when crops grow nearby&r. It works better if the crop is Magebloom or Sourceberry.","农艺魔源通道是前期的好选择。当&6作物在附近生长时&r，它就能产生魔源。如果作物是法师之花或魔源浆果丛，它的工作效率就会更高。"
"These &bMob Farm Upgrades&r can greatly assist you with &6moving and killing mobs&r, and making use of their drops. Fans specifically only move Entities, you'll want a magnet upgrade for gathering up items.","这些&b怪物农场升级&r可以帮助您&6移动/击杀怪物&r和收集它们掉落物。风扇升级只能推动实体，你得做磁铁升级才能收集物品。"
"When a Card is set to extract, items etc are sent to any Cards on its network and &6channel&r that are set to Insert.","当卡片设置为提取时，物品等将被发送到相同网络和&6通道&r上，设置为输入的其他卡。"
"(Almost) all &eThermal Expansion&r machines are crafted using &bMachine Frames&r.","（几乎）所有&e热力膨胀&r的机器都是用&b机器框架&r制作的。"
"&bBrass&r is a flexible alloy, and is the basis for many of &eCreate&r's more advanced machines.","&b黄铜&r是柔性合金，是许多&e机械动力&r高级机器的基础材料"
"&bNode Overclockers&r let more Cards work at the same time.","&b节点超频器&r可以让更多卡同时工作。"
"Toss some &6Magically-Inclined Steel&r into your Manapool and get Manasteel.","把一些&6魔力亲和钢&r丢进魔力池就能得到魔力钢。"
"It's a good idea to upgrade it into an &6Advanced Beehive&r, which can be harvested without angering its tenants.","将其升级为&6高级蜂箱&r是个好主意，它可以在不激怒房客的情况下收获。"
"Tier 4 Chopping Tool","4级砍伐工具"
"Elementium Armor","源质钢盔甲"
"However, Automation is Key!","然而自动化才是关键。"
"The Power of Creation","创造的力量"
"This little piggie...","这只小猪去市场……"
"Visit a Nether Sky Village","造访下界村庄"
"The &bTier 4 Rocket&r provides access to the Proxima Centauri star system, which currently only contains the planet &bGlacio&r.","&b四级火箭&r可以访问半人马比邻星，目前它只包含行星&b霜原&r"
"All that glitters...","所有那些闪闪发光的东西…"
"One for &9Water&r -> &eBrine&r","一个用用来：&9水&r → &e盐水&r"
"Provides a list of items to automation related entities. ","为自动化相关实体提供一个物品列表"
"Crushinator","粉碎机"
"Cutting down Pork Chops will make &bBacon&r, which many consider the best cut of meat. Others may not, but they're wrong.","将猪排切片可以做成&b培根&r，许多人都认为这是最好的部位。可能还有一些人不这么想，那他们就大错特错了。"
"The same is true for &bBlack Hole Tanks&r, but for fluids instead of items.","&b黑洞储液罐&r也是一样，但存储的是流体而不是物品"
"The &bEnrichment Chamber&r is used to &6compress&r certain items, as well as &6refine ores&r... if you can get any.","&b富集仓&r用于&6压缩&r某些物品，以及&6精炼矿石&r……如果你有的话。"
"Welcome","欢迎"
"Tier 3 Hammer","3级锤子"
"This system can tie into most other storage system logistics as well such as AE2, Functional Storage and Integrated Dynamics.","该系统还可与AE2、功能存储、集成动力存等储系统连接"
"Your Andesite Meshes deserve an upgrade.","你的安山筛网值得升级。"
"When this scroll is attached to an inventory, entities will only insert items that already exist in the inventory. ","当该卷轴固定到一个容器时，实体只会输入容器中已存在的物品。"
"The easiest way to make one is to simply &6replace the Axe Head&r on a vanilla Iron Axe with another Iron Axe Head.","最简单的制作方法就是将原版铁斧的头&6替换为另一个铁质斧头&r。"
"Completes the &6Reach Mercury or Venus&r task in the Ad Astra quest, when either of this quest's tasks are complete.","完成Ad Astra中的&6抵达水星或金星&r任务， 任意任务完成后，您都会获得该任务的奖励"
"It does the same amount of base damage, but in addtion, it has a chance to spawn Pixies when hitting entities","它有着相同的基础伤害，但不同的是，它有几率在击中实体时生成小精灵"
"&eLaserIO&r intelligently teleports items between inventories, without needing to have a path of pipes.","&eLaserIO&r能在容器之间智能的传输物品，不需要管道线缆"
"There are 7 tiers, each costing exponentially more FE than the previous, but also becoming exponentially more powerful.","一共有7个等级，每个等级所需的FE都成倍增加，其威力也成倍增加"
"Such a Pushover","相当容易操作"
"This allows access to &6Mars&r.","这是前往&6火星&r的必要条件"
"More powerful &bGlyphs&r can only be cast by a &6Mage's Spell Book&r.","更强大的&b魔符&r只能由&6法师的法术书&r施放。"
"Manasteel level materials","魔力钢级别材料"
"The Mobfarm comes with &5Cursed Earth&r. This is known to burn up during sunlight, so it is advised to build this during night or early morning.","众所周知，刷怪场的&5诅咒之土&r会在阳光下起火，所以建议你在晚上或者赶早建造。"
"&bGrow the Sapling&r you spawned with, and chop it down.","&b种下你出生带的树苗&r，然后把它砍倒。"
"Knives Out!","利刃出鞘！"
"The &bLatex Processing Unit&r uses FE to &6combine Water and Latex&r into &bRubber&r!","&b胶乳加工机&r使用FE将&6水和胶乳&r加工为&b橡胶&r！"
"Lets be honest, we've all made the 16x16x40 \""tank\"" enough times. Here is a &eCreative Lava Tank&r to use instead. Your server owners will thank you.","老实说，我们做16x16x40的储罐都做烦了。给你一个&e创造熔岩储罐&r吧。你的服主会感谢你的。"
"Make a Motor","制作电动机"
"Depending on the recipe requirements, you might need more or less pressure.","取决于配方要求，你所需的压力会更大或更小。"
"Mobfarming, Lagfree and Scalable...","怪物农场数字化升级……"
"The path of the elements","元素之路"
"The &bIron&r Hammer&r is tier 2, but if both heads are made of iron they get synergy bonus and the hammer becomes &6tier 3&r.","&b铁锤&r是第2级，如果你把锤子的两头都升级到铁的，那么这个锤子就会变成&63级&r。"
"To link a Pedestal, sneak right-click on the &oreceiving&r Pedestal, then sneak right-click on the one you want to pull from.","要链接基座，得先潜行右击&o接收&r的基座，再潜行右击&o输出&r的基座"
"They also make a great source of Compost or Apples with better meshes. It's worth investing in some &6Flint Shears&r when possible.","它们也可以堆肥或者用更好的筛网筛出苹果。可以的话做出一些&6燧石剪刀&r是很不错的。"
"Fun little things that can happen","美好的事情正在发生"
"Here, you can &6barter with the Pigmen&r by tossing them some gold!","在这里，您可以丢金子与&6猪灵进行交易&r"
"&l&6Mimic Scroll&r","&l&6模仿卷轴&r"
"The Big Splash","大喷射"
"&lDrawer&r","&l抽屉&r"
"The &bSewer&r will generate &6Sewage&r while animals are in its work area.","当动物在&b动物排污器&r工作区域内时会产生&6污水&r"
"No come back!","没有回来！"
"When a &6Starbuncle&r has picked up a golden nugget, it will vanish from this World and leave behind &5Starbuncle Shards&r.","当&6星宝石兽&r捡起一个金粒时，它就会从这个世界上消失，并留下&5星宝石兽碎片&r。"
"Moving in the right direction","向正确的方向移动"
"&eCyclic's&r Spikes can be upgraded to 3 variants:","&e循环&r的钉刺还可以升级为3个变体："
"You can also &6extract water with pipes&r at an extreme rate.","你可以以一种极端的速度&6用管道提取水&r。"
"Portable","便携"
"FE is not required, but makes it faster.","FE供能不是必要的，但供能会使其工作速度得会更快"
"With some Enderium and Lumium you can make some &bResonant Integral Components&r.","你可以用一些末影锭和流明锭制作一些&b谐振整合组件&r。"
"That's all she wrote","这就是她写的全部内容"
"&bRice&r is grown by &6using Rice on Dirt with one Water source on top&r.","&b稻米&r需要在&6顶部是水源方块的泥土&r上种植才能生长。"
"See the Hammer's uses in JEI (using the U key) to see what blocks smash into what.","在JEI中查看锤子的用途（使用U键），方块对应的产物。"
"Simply tossing some Blaze Fiber into a Manapool will make it soak up the Mana and convert into this magical String.","简单的把一些烈焰纤维扔进魔力池就可以吸收魔力而转化为蕴魔丝线"
"Watch for flies!","小心苍蝇！"
"Swapping parts","交换零件"
"Laser Bases are not powered directly. Instead, a &bLaser Drill&r is placed 1 block away, and &othat&r is given power.","镭射站基座不可以直接供能。将&b镭射钻&r放置在1个方块外，&o镭射钻&r会为其供能"
"The &bWand of the Forest&r is essentially Botania's wrench. Its main use is to &6bind blocks to other blocks&r.","&b森林法杖&r基本上就是植物魔法的扳手。其主要用途是&6将方块与其他方块绑定&r"
"Instead of pushing the mobs, you can also use these &bVector Plates&r","你也可以使用这些&b向量板&r来代替风扇去移动怪物"
"While holding the Hammer and looking at a smashable block, it will show you what it smashes into.","拿着锤子看向一个可粉碎的方块时，它会告诉你粉碎的产物。"
"Foodies + Farmers","食物与农夫"
"The &bElemental container&r contains-you guessed it- elements. It will store elemental essences for later use. ","&b元素容器&r包含元素（你猜对了）。它可以存储元素精华供以后使用。"
"Mass storage","集合存储"
"The Golem will then &6automatically farm nearby Amethyst&r, and even converts Amethyst Blocks into Budding Amethyst!","这个傀儡就会&6自动收获附近的紫水晶&r，甚至还能把紫水晶块转化为紫水晶母岩。"
"Place the &bRune Inscriber&r on an Element Container, insert the ingredients, and then use and &ohold&r a &bRune Inscription Chisel&r to craft the Rune.","将&b符文刻印器&r放在元素容器上，除了放上必要的材料并通入相应元素以外，你还需要手持符文刻印凿并&o按住&r鼠标右键才能合成"
"The &bCrow Flute&r allows you to &6control multiple Crows at once&r, as well as &6set a block as the Crows' perch spot&r.","乌鸦竖笛可以让你&6一次控制多个乌鸦&r，也可以&6设置一个方块作为乌鸦的栖息点&r。"
"Create","机械动力"
"Tier 1 Glyphs","1级魔符"
"Craft a &bBook of Binding: Foliot&r, and then craft it together with your &6Book of Spirits&r. This will &6bind a specific Foliot to the book&r.","制作一个&b绑定之书：魔精&r，然后将其与您的&6魔灵全典&r合成。这会&6将特定魔精绑定到书上&r"
"Now that you have access to water and lava you can create a cobble generator from cobble for days to automatically create cobble for you which can feed into autohammers for resource production.","你现在有了水和熔岩， 可以做一个&eCobble for Days&r模组的圆石制造机。 它可以自动制造圆石。 你可以将圆石输入自动锤来生产资源。"
"Random Thermal Alloy","随机热力合金"
"The &bFuel Loader&r will &6automatically fuel Rockets&r within 2 blocks of itself.","&b燃料加注器&r会&6在2个方块内自动为火箭提供燃料&r"
"Motors","电动机"
"These are specialized drops that can be converted into a specific mob drop inside the &6Loot Fabricator&r","这些特殊的掉落物可以转化为&6战利品制造器&r中的特定生物掉落"
"The Fission Reactor &cdoesn't make FE&r, it makes &oheat&r. This heat is used to make Steam, which turns a &6Turbine&r, which makes FE.","裂变反应堆&c不会产生FE&r，它会产生&o热量&r。热量用于生产蒸汽，转动&6涡轮机&r来产生FE。"
"Make a Novice Spell Book","做一本初学者法术书"
"These are the most basic filters one can use.","这些是最基础的过滤器"
"The &bCorporea Interceptor&r will emit a redstone pulse when the item in an Item Frame placed on it is requested, but none are available.","&b多媒体拦截器&r在请求物品展示框中的物品时会发出红石脉冲"
"High tier backpacks have more &6storage space&r, and room for &6more upgrades&r.","高级背包有更多&6存储空间&r和更多的&6升级&r槽位"
"If the block being broken is effected by an enchantment (Silk Touch, Fortune, etc), and if the supplied tool has that enchantment, it will be applied.","如果被破坏的方块可以受到附魔（精准采集、幸运等）的影响，且所提供的工具具有该附魔，则会应用该附魔"
"Every decent Tech mod needs Circuits right? Luckily these aren't as complicated as Gregtech's.","每个像样的科技模组都需要电路，对吧？幸运的是，它们不及格雷的复杂。"
"The easiest way to make one is by taking a &6vanilla Diamond Sword&r and swapping out the blade with a &6Diamond Shortblade&r.","最简单的制作方法就是拿起&6原版钻石剑&r放在加工台里用&6钻石短刃&r来切换剑刃。"
"These &bRanching Upgrades&r will help you with farming mobs.","这些&b牧业升级&r会帮助你养殖动物"
"On a Pedestal","基座之上"
"The &bUpgrade Tool&r's main purpose is to &6remove Upgrades&r, but it is also a crafting component for them.","&b升级工具&r的主要用途是&6移除升级&r，但同时也是其合成组件。"
"This gives various buffs to the player, which are all located in the tooltip of the Armor","它为玩家提供了各种增益，可以查看它的盔甲提示"
"Since the Index technically doesn't have an inventory, you can place the Master Corporea Spark on it without losing any functionality.","由于索引严格来说没有物品栏，你可以在不丢失任何功能的情况下在上面放置主媒体火花"
"Sticky Resin","粘性树脂"
"&bStorage&r increases the Pedestal's storage.","&b存储升级&r增加基座的存储量"
"&fVelocitas Rune&r - Decrease cooldown","&f极速符文&r——缩短冷却"
"One significant use for this is producing &6Biodiesel&r, which is the corner stone of your enhanced power production. ","其中一个重要用途是生产&6生物柴油&r，这是你增强发电能力的基石。"
"Tears of Fire","炽厄之泪"
"If your &6{item.pneumaticcraft.empty_pcb}&r has been exposed to UV long enough, there is a good chance they will become &b{item.pneumaticcraft.unassembled_pcb}&r's when you etch them.","如果&6{item.pneumaticcraft.empty_pcb}&r暴露在紫外光下的时间足够长，蚀刻的时候就更大的概率成为&b{item.pneumaticcraft.unassembled_pcb}&r。"
"Going through the ship's portal will allow you to &6choose a starting island&r, create an &eFTB Teams&r party, and send you there.","穿过船上的传送门可以让你&6选择一个开始的岛屿&r，创建一个 &eFTBTeams&r队伍，然后把你送到那里。"
"Purpley boy","紫色男孩"
"Chalk takes a long time to break, unless you use a &bChalk Brush&r.","挖掘粉笔需要很长的时间，所以你可能需要一个&b粉笔刷&r来擦除它"
"An important note is that since these machines share heat it is often useful to put multiple machines that require similar temperatures touching each other to make heat management easierl. You can pipe between them with &6dispenser upgrades&r.","值得注意的是，由于这些机器之间可以共享热量，因此通常将多台需求温度类似的机器放在一起，以方便热量管理。您可以在它们之间使用&6发射器升级&r传输热量。"
"Energy Lasers","能量激光"
"&6&lItem Scroll: Allow&r","&6&l物品卷轴：允许&r"
"Soul Engulfing Concentrator","灵魂吞噬浓缩器"
"Make a Stove","制作炉灶"
"The cleansing smoke only works in a &648-meter circular radius&r, though outsiders can still wander in. It also &cburns out after an hour&r.","净化烟雾的工作范围是一个&6半径48米的圆&r，但是外部的怪物仍可以进入。它会在&c一小时后燃尽&r。"
"WINNER WINNER CHICKEN DINNER","大吉大利，今晚吃鸡"
"• &6Sneak left clicking&r removes a stack","• &6潜行左击&r移除一组物品"
"&8&oIf you don't do so, be prepared to get yourself a little Ice Farm...&f","&8&o不然，就准备好迎接冰块农场吧……&r"
"The Storage Lectern can have Tabs.","存储讲台可以有标签"
"Circuits!? How do they work?","电路！？它们如何工作？"
"Each Mob has its own special &bMob Prediction&r","每个怪物都有自己的特殊的&b预测产物&r"
"Upgrade your Machines!","升级你的机器！"
"Using the Elemental Infuser will allow you to craft Drenched Steel Ingot. These can be further processed with the Enchanting Apparatus into &bMagically-Inclined Steel&r.","元素灌注器可以制作浸润钢锭。这些钢锭可以进一步用附魔装置加工成&b魔力亲和钢&r"
"Crafted from the previous Tier, the &bElite Control Circuits&r are the next Circuit in line.","用上一级材料制作的&b精英控制电路&r，是这条线上下一级电路"
"It has 9 slots, for 9 areas of the field above. For example: in a 3x3 field, each slot is a single block. In a 9x9 field, each slot is a 3x3.","它有9个插槽，分别代表上方9个区域。例如：在3x3范围中，每个插槽对应一个方块。在9x9范围中，每个插槽则对应一个3x3区域"
"Using an &6Andesite Mesh&r to sift &6Soul Sand&r has a chance of dropping &bthese materials&r.","用&6安山合金筛网&r筛&6灵魂沙&r有几率掉落&b这些材料&r。"
"Need a good way to store your EXP?","想要把你的经验都存起来吗？"
"Visit a Nether Sky Village","造访下界村庄"
"The &bDrying Rack&r will allow you to &6dry items&r. Certain magical plants are more potent when dried.","烘干架可以允许你烘干物品，一些魔法植物在干燥时更强效。"
"Farm some Overworld Mobs","养殖一些主世界生物"
"Sifting Gravel will net you &bIron Shards&r. These can be crafted into &6Andesite Alloy&r, which is necessary for progression.","筛沙砾会得到&b铁碎片&r，可以合成&6安山合金&r。是进度推进所需的。"
"Generating stuff out of thin air!","凭空生成材料！"
"Advanced pressure tubes can handle up to 25 Bar and 4 times the volume. Be careful that the machines you connect these two can handle the pressure or use a regulator.","高级压力管道可承受高达25bar的压力和4倍的容积。要注意连接这两台机器的设备是否能承受压力，或者使用调节器"
"They're going to Bee tasty!","它们一定会很美味！"
"Tetra","Tetra"
"Join or Create a team Island","加入或创建一个团队岛"
"You so fine","你太棒了！"
"Biodiesel","生物柴油"
"These &bFarming Upgrades&r will assist you with farming plants.","这些&b农业升级&r可以帮助您种植植物"
"Using the &6Splitting&r enchant on an &bAnvil&r will allow you to split &6multiple Enchants&r on one book into seperate books","在&b铁砧&r上附上&6拆分&r附魔，可以让你将一本书上的&6多个附魔&r分解成多本单附魔的附魔书"
"Space is just chock full of barren wastelands. &bMercury&r and &bVenus&r are two more examples of such.","太空中全是贫瘠的荒原。&b水星&r和&b火星&r则是例外"
"This offers you the same armor as Iron Armor does, but it comes with the benefit of reduced Mana Cost when using Botania Tools","这提供与铁盔甲相同的护甲值，但会减少使用植物魔法工具的魔力消耗"
"The &bEye of Legend&r will &6help you find Sky Villages&r!","&b传奇之眼&r会&6帮助您找到天空村庄&r！"
"&bFlux Points&r serve as the &6outputs&r of a network.","&b通量网络接入点&r可以作为网络的&6输出口&r。"
"Using the &bThermal Evaporation Chamber&r to create Brine is one of the first steps into getting Fusion Power.","使用&b热力蒸馏塔&r制作盐水是获得聚变能的初始步骤之一。"
"Building Gadgets","建筑小帮手"
"Zombie All You Can Be","你是PVP大佬"
"Fish Slices","鱼片"
"&bLDPS&r or Low Density Polyethylene Sheets are a low grade industrial plastic","&b低密度聚乙烯&r是一种低级工业塑料。"
"Manaweave Cloth can be processed further. To make it sturdier, process it with Latex to make some &bMarine Fabric&r.","魔源布匹可以进一步加工，要让其更坚固，需要用胶乳来处理它，这样就能制作&b海晶面料&r。"
"It is suggested to use &6Energy Upgrades&r to reduce the machine's energy usage.","建议使用&6能量升级&r来减少机器的能量消耗。"
"Over time, the Tier on the Data Model will increase and will become more usable","随着时间的推移，数据模型上的等级将增加，变得更有用"
"Cursed Earth","诅咒之土"
"The &bTerrestrial Agglomeration Plate&r is used to craft &6Terrasteel&r. It is part of a multiblock; see the &6Lexica Botania&r for construction details.","&b泰拉凝聚板&r是&6泰拉钢&r合成所需多方块结构的一部分。；查阅&6植物魔法辞典&r了解结构详细信息。"
"Here is some information about the possible Machines that produce Stress Units for you","这里是一些可以生成应力的机器信息"
"&bFlux Plugs&r serve as the &6input&r to a network.","&b通量网络输入点&r可以作为网络的&6输入口&r。"
"To setup the summoning area you need to place the Soul Pedestal in the center and surround it with 8 standard pedestals. ","要设置召唤区，您需要将灵魂基座放在中央，并用8个普通基座围绕它。"
"You only need 1 bucket of liquid biomass to make the blood sigil. If you put more than 1 bucket of liquid biomass in, the rest will get converted to the new liquid. For example, if you put in 3000mb of biomass to craft the sigil you will get 2000mb of cognitium along with the sigil when it completes.","你只需要1桶生物质制作嗜血符文。如果你放入1桶以上的生物质，其他的将转化为新的液体。例如，如果你放入3000mb的生物质来制作这个符文，你将在完成时候得到2000mb的知识和符文。"
"Worn Notebook","破旧的笔记本"
"That'll be just dandylion","花花公子而已"
"Harder metals enable higher-tier machines and manufacturing methods. You'll use a considerable amount of &bsteel&r. Make sure your production is automated and up to the task. You'll move into faster production methods later, but you'll want to cook up at least a stack for now.","强度更高的金属意味着更高等级的机器和制造方法。你将需要使用大量的&b钢&r。确保您的生产是自动化的，能够完成任务。你稍后会获得更快的制作方法，但你现在至少要做一组。"
"&bMagebloom Fiber&r is a Magical Fiber which can be used to create Ars Nouveau Armor, which will give you some decent Armor and some Mana Benefits.","&b法师之花纤维&r是一种魔法纤维，可以用来制作新生魔艺护甲，会给你一些像样的护甲值和一些魔力效果。"
"You know the Drill","你知道规矩的"
"&4Magmatic Anvil&r - Will repair your items with Lava","&4岩浆铁砧&r——使用岩浆修复你的物品"
"A major part of rituals involves drawing circles using &bChalk&r. This circle is called a &6Pentacle&r.","仪式的一个主要部分是用&b粉笔&r画圆环。这个圆环被称为&6五芒星&r"
"Summoned &6Starbuncles&r will pickup nearby items and can move items between inventories such as chests.","召唤的&6星宝石兽&r可以拾取附近的物品，并可以在容器之间移动物品，例如箱子。"
"Most of your &6basic spell components&r are &bTier 1&r.","你的大部分&6基础法术&r都由&b1级魔符&r组成。"
"&6{block.pneumaticcraft.uv_light_box}&r is needed to get the &b{item.pneumaticcraft.empty_pcb}&r ready for the Etching Tank.","&b{item.pneumaticcraft.empty_pcb}&r需要经过&6{block.pneumaticcraft.uv_light_box}&r处理才能进入蚀刻器。"
"Additionally, to make Ether Gas, the Fluid Laser &6must be over a Wither&r. This is a bit tricky to do, but the &6Stasis Chamber&r would make it easier.","此外，要制作以太气体，流体镭射钻基座&6必须放在凋零&r上方。这有点难做，但用&6冷凝室&r会更容易点"
"See its &6uses in JEI&r for a list of what blocks make what. A note: the block on the right &cis not what is generated&r. The Material Generator will simulate breaking that block, and generates the drops.","请参阅&6JEI的用途&r了解方块的生成材料提示：右边的方块&c不是材料生成器生成的方块&r。材料生成器将模拟破坏该方块，并生成掉落物"
"Master Chef","厨艺大师"
"One small step for man","人类的一小步"
"The create &bmixer&r can combine many different varieties of fluids and items to combine them into something new. Your first uses will be for biomass and Primitive Slurry but you'll find many more uses for it. It's not a bad idea to make a couple of these.","机械动力的&b动力搅拌机&r可以将许多不同的流体和物品组合成新的东西。第一种用途是用来做生物质和基浆，但你会找到更多的用途。做两个搅拌机是个好主意。"
"Industrial Foregoing","工业先锋"
"&bFlux Storage&r blocks store FE on the network.","&b能量存储器&r方块在网络中存储FE。"
"To do so, build the stage (see the book) and use a &bTerrasteel Ingot&r on the Beacon at the center.","为此，请搭建平台（参见书中的内容），在中心信标上使用&b泰拉钢锭&r召唤盖亚守护者。"
"Random Mob Prediction","随机怪物预测产物"
"Any #farmersdelight:tools/knives","任意#farmersdelight:tools/knives"
"Heavy!","真沉！"
"&bUpgrades&r are installed onto a Pedestal to give them additional functionality.","&b升级&r安装在基座上，使其具备更多功能"
"In the Node's GUI, right-click a Card to configure it. This GUI is fairly complex, so reading &6LaserIO 101&r is highly recommended.","在节点界面中，右击卡片进行配置。 界面相当复杂，所以强烈推荐阅读&6LaserIO 101&r。"
"Get a Thermal Cell","获得热力单元"
"The &bCoffer&r is a quaint little block, holding as much as a normal chest.","&b珍宝盒&r是一个古怪的小方块，容量和普通箱子一样。"
"If the chunk the Compact Machine is in is loaded, the chunks inside the machine are loaded.","如果压缩机器所在的区块被加载，则机器内部的区块也会被加载。"
"Automated Engineer's Workbench","自动化工程师装配台"
"&bMechanical Dirt&r will &6rapidly spawn hostile mobs&r when provided FE and &6Liquid Meat&r.","&b机械诅咒之土&r在提供FE和&6肉汤&r时会&6快速生成敌对生物&r"
"Place the Task Screen, and &6set the Task&r in the GUI. From there, you can &6pipe what's needed into the Task Screen&r to progress the task.","放置目标显示器，在GUI中&6设置任务&r。从那里，您可以&6将所需内容输入目标显示器&r以推进任务"
"Use it with some Mob Drops to create a &6{item.pneumaticcraft.etching_acid_bucket}&r","将其与一些怪物掉落物搅拌以制作&6{item.pneumaticcraft.etching_acid_bucket}&r。"
"Killing animals with the &bButcher Knife&r will occasionally drop &6Tallow&r, a necessary ingredient for magical candles.","使用&b屠刀&r击杀动物有几率掉落&6动物油脂&r，是制作魔法蜡烛的必备材料"
"A &6diverse diet&r will &bgrant you bonus hearts&r! Use the &6Food Book&r to keep track of what foods you've eaten, and how many you have left until your next heart.","&6丰富的饮食&r会&b给予你额外的生命值&r！使用&6食物清单&r来记录你吃过哪些食物，以及还差多少才能获得下一颗红心。"
"It will point you in the direction of &6Nether Sky Islands&r, full of Pigmen to barter with!","它指向&6下界天空岛&r，到处都是猪人，可以跟它们交易"
"This seems familiar...","这看起来很眼熟…"
"Chop Chop","砍砍砍砍！"
"Completing either task will complete the quest.","完成任意一个任务即可"
"Going with the flow","顺其自然"
"Make Sourcestone","制作魔源石"
"Loot for DAYS!!!","战利品日！！！"
"Make them an offer they cant refuse","给他们开出一个无法拒绝的条件"
"&bSifters&r will allow you to run materials such as Gravel, Sand, and Dust through &6Meshes&r to find materials.","&b筛子&r让你可以用&6筛网&r过筛砂砾、沙子和尘土以获得材料。"
"The &bCooking Table&r will allow you to &6quickly craft foods&r that you have the ingredients for.","&b烹饪桌&r可以&6快速制作&r准备好食材的菜肴。"
"For in this sleep...","在那死的睡眠里……"
"Filters are configured similarly to Upgrades:","过滤器的配置与升级类似："
"Very basic starter source of FE. It works and can be automated but it takes a bit of work to fully automate and is a relatively low power source.","非常基础的FE生产方式。它可以自动化，但要实现完全自动化需要花点功夫，而且功率相对较低"
"Magic Boots","魔法靴子"
"The Important Ones, Anyway","不管怎样，这是重要的一个"
"Turn to your mob farm for spider eyes to get some batches of this made early, once you graduate to &ePneumaticraft&r you can skip those and process ethanol directly.","前往你的怪物农场，获得蜘蛛眼作为早期材料，一旦你进入&e气动工艺&r，你就能直接跳过这些乙醇生产步骤。"
"Make a Tinkering Table","做个工匠工作台"
"Tetra Time!","Tetra时间！"
"I","I"
"&bElemental Essences&r are the driving magic force behind most Source-infused magics. You'll need an abundant supply of these, especially the air variety, so crafting in bulk is highly suggested.","&b元素精华&r是大多数魔源灌注法术的驱动力。你需要大量的这种力量，特别是气之精华，所以建议做多一点。"
"You Blockhead!","你这个方块脑袋！"
"... or Swim.","“水煮”沉浮？"
"&bAdvanced Control Circuits&r are used for more advanced machines.","&b高级控制电路&r用于更高级的机器。"
"Trigon Arises!","三头龙出现了！"
